|index|image|description|confidence|label|pred
99|172|187156|The glasses are thin framed and it's low quality picture |4|1|-1
100|177|197174|Hair is covering his face and is confusing the bot.|3|1|-1
101|178|178890|The room is very dark and seeing his face is difficult.|3|-1|1
102|179|198045|His glasses frame is very thin and is mistaken for facial wrinkles.|4|1|-1
103|180|173197|The glasses have thin frames|4|1|-1
104|182|187985|The frames around the eye aren't there|4|1|-1
105|184|174632|Darkness on a dark face caused confusion looks like a shadow.|4|1|-1
106|185|177652|Can barely see her face bad picture|3|1|-1
107|186|167364|The hat may have cast a shadow.|0|1|-1
108|189|165891|The glasses are thin and hard to see.|1|1|-1
109|190|176165|The glasses are being confused with the background color|0|1|-1
110|191|191321|The person has shadows around their eyes that could be mistaken for glasses.|1|-1|1
111|192|169726|The picture is blurry.|3|1|-1
112|194|177300|There is a shadow cast that could be mistaken as glasses.|4|-1|1
113|196|199731|I believe the lighting cause the algorithm not to detect the glasses|2|1|-1
114|198|174312|The glasses are somewhat see through|3|1|-1
115|199|180192|The lenses are somewhat see through|3|1|-1
116|202|166953|maybe because its a transparent kind|2|1|-1
117|203|184558|i think it's because it is a transparent glasses|4|1|-1
118|204|199276|The glasses blend in with the dark background.|3|1|-1
119|206|194855|The glasses blend in with the hair (top of head).|4|1|-1
120|209|194357|The persons hair and the lighting may have confused the algorithm.|3|-1|1
121|211|177568|The algorithm might not have any data on people who use sunglasses.|4|1|-1
122|214|196768|Dark hair is falling around her eyes and she's wearing dark eye shadow that may resemble dark frames.|1|-1|1
123|215|199734|Th person's eyes are obscured by a hat.|0|-1|1
124|216|163913|The glasses rims are transparent.|3|1|-1
125|218|185071|The person is wearing a mask that looks like glasses.|3|-1|1
126|220|190951|The glasses are rather small and the frame is pretty thin.|2|1|-1
127|225|172112|The glass have no outline, or rims.|3|1|-1
128|226|170794|The skin around the eyes can be deceiving |3|-1|1
129|227|191321|There isn't a clear shot of the face, from the front.|3|-1|1
130|228|176602|Because the glass frame are very thin|3|1|-1
131|229|190951|Because the glass frames are very thin|3|1|-1
132|230|193544|Because the person have bags under their eyes. |3|-1|1
133|231|175045|The glasses have a single long lens without separate lens frames for each eye. |2|1|-1
134|234|162938|Because the glasses are upside down|4|1|-1
135|236|177948|Because it may not have detected the rims as being part of glasses |3|1|-1
136|237|185344|the woman is wearing glasses to see|4|1|-1
137|238|184000|the man is wearing glasses but they are hard to see|3|1|-1
138|239|175774|the man is wearing glasses to see|4|1|-1
139|240|174302|because it seems invissible|4|1|-1
140|241|169914|there is no glass|4|-1|1
141|242|195596|seems light|4|1|-1
142|244|198586|The glass is very transparent and the temples look like his skin.|3|1|-1
143|246|164639|It might be picking up something in the background that is making it fail.|4|1|-1
144|247|170739|The glasses are almost see through so the technology might not pick it up.|4|1|-1
145|250|177652|It is hard to see the outline of the glasses because they are thin-framed and it blends in with the skin of the woman somewhat.|3|1|-1
146|253|201174|There is not enough contract because the frames are silver and very thinn.|3|1|-1
147|254|181411|The glasses match his hair and touch his hair so it probable detected them as hair.|1|1|-1
148|256|175045|The technology hasn't seen this type of glasses before|1|1|-1
149|257|173585|The glasses are clear and blend in well with the face|2|1|-1
150|258|169787|The glasses are light colored and blend in with her face.|1|1|-1
151|259|182168|The glasses are barely visible on her face and blend in.|2|1|-1
152|261|201174|It is hard to see because they are rimless glasses so it looks like there are no glasses on.|3|1|-1
153|266|201467|The glasses do not have any wire rims|4|1|-1
154|269|171522|There are bags under the eyes that make it seem like he's wearing glasses|3|-1|1
155|270|174449|The person's hair is across their face.|3|-1|1
156|271|200184|The angle of the face has caused an incorrect detection.|3|1|-1
157|272|196403|The lens are not clearly distinguished by the frames. |3|1|-1
158|273|196191|The black on black color|3|1|-1
159|274|164144|because they are clear|3|1|-1
160|276|190951|The glasses have thin frames that make them hard to identify.|2|1|-1
161|277|189691|The glasses have thin frames that make them hard to identify.|1|1|-1
162|278|195596|The glasses have very thin frames that are hard to see and not highly visible.|3|1|-1
